Method,Min prevalent,Prevalent colocation,Execution Time,Memory used
Clique base,0.1,NaN,NaN,NaN
Clique base,0.15,NaN,NaN,NaN
Clique base,0.2,NaN,NaN,NaN
Clique base,0.25,NaN,NaN,NaN
Clique base,0.3,NaN,NaN,NaN
Joinless,0.1,1271,33408,593
Joinless,0.15,536,2474,545
Joinless,0.2,287,948,537
Joinless,0.25,169,615,505
Joinless,0.3,114,93,299
Condense,0.1,1201,17261,635
Condense,0.15,522,2563,614
Condense,0.2,279,1135,603
Condense,0.25,163,91,708
Condense,0.3,113,26,734
DTC,0.1,198,4,276
DTC,0.15,94,4.2,320
DTC,0.2,63,3.8,277
DTC,0.25,45,4,319
DTC,0.3,28,3.7,285
DTKC,0.1,243,20,164
DTKC,0.15,142,8.6,159
DTKC,0.2,81,8,157
DTKC,0.25,59,8,162
DTKC,0.3,44,8.3,160